      2      0                             0                                                0.0000000000                      -1.7917594692        0.0000000000
      7      1                             3                                                0.4561350588                      -7.0743284788       -0.2876820724
      4      0                             5                                                0.4899769500                     -10.0762913021       -1.1631508098
      9      1                             6                                                0.5546582051                     -11.3000667337       -0.6931471806
      6      0                             8                                                0.8571195087                     -13.7424137691       -2.2617630985
     11      1                            11                                                1.0071655666                     -17.9702202771       -2.4849066498
      6      0                            12                                                1.0255923972                     -19.0688325658       -2.2617630985
      9      1                            20                                                1.6625561157                     -30.2795018252       -2.1972245773
      4      0                            25                                                2.0183053220                     -40.3777720340       -1.7917594692
      7      1                            34                                                3.4259095860                     -50.8399892677       -1.0986122887
     14      2                            36                                                3.4953854272                     -53.7021901487       -1.2809338455
