            88                            70                                                6.0909152749                    -100.2562719093       -5.2053793709
            89                            39                                                4.8085002751                     -44.0865511297       -0.9162907319
            90                            63                                                6.2029572011                     -85.1685729794      -17.1102189106
            91                            19                                                1.2195491394                     -29.1282004956        0.0769610411
            92                           122                                                8.9681221266                    -167.5257324513      -15.0669164155
            93                            16                                                0.7400499250                     -22.9829238243       -7.1546153569
            94                             6                                                0.6239869857                     -10.0067659020        0.6931471806
            95                            98                                                7.3263755274                    -132.3023031211      -12.3759716823
            96                            16                                                1.3156803715                     -27.7792698435       -0.1823215568
            97                            46                                                3.3709554532                     -68.4508952397        0.9932517730
            98                            20                                                1.1628075858                     -24.6916856757       -3.5710964184
            99                            92                                                8.0453242249                    -129.1276471613       -9.8141039914
           100                            49                                                4.8041005499                     -62.2231810466       -5.5090383978
           101                             9                                                1.0789589964                     -13.5796464422        0.4700036292
           102                            50                                                4.2354091389                     -67.4861915675       -7.4594028972
           103                            11                                                0.9024689364                     -15.7993824549       -6.1737861039
           104                            11                                                0.6870233533                     -21.4499204151        3.1780538303
           105                            17                                                1.6556690323                     -20.9272682561       -2.4203681287
           106                            87                                                7.1995867960                    -105.4976784680       -2.3025850930
           107                            36                                                2.7908732324                     -49.5327936477       -0.0645385211
           108                            15                                                0.8343398181                     -24.9329962700       -2.9549102790
           109                            49                                                3.6249084467                     -71.1538540176       -1.9616585060
           110                            32                                                3.0465060963                     -39.9599073509       -6.3969296552
           111                            71                                                6.3238252634                     -88.6557294389       -4.5395031515
           112                            24                                                1.4653985682                     -34.8776631369       -0.4700036292
           113                            53                                                3.9074047837                     -75.8423807538       -5.4149718888
           114                             8                                                0.4204231948                     -16.3972194557        1.0986122887
           115                            36                                                2.7728944583                     -47.6438318505       -3.7942399698
           116                            49                                                4.4257022379                     -65.9398777995       -5.5735769190
           117                            41                                                3.2622035769                     -51.9287967723       -3.9765615266
           118                           103                                                8.5792321392                    -143.0703343582       -1.9379419794
           119                            64                                                5.6374315110                     -87.1874595902       -5.5327549245
           120                            18                                                1.6993286751                     -25.7902979643       -0.2231435513
           121                            11                                                1.6880223501                     -15.5080241125        0.1177830357
           122                             4                                                0.1751219781                      -7.3550019211       -1.0986122887
           123                            22                                                1.7585092625                     -34.7711207191       -2.7080502011
           124                            21                                                1.7942820908                     -31.8011811476        1.9379419794
           125                            21                                                1.3486619769                     -27.4458637348       -5.2858948465
           126                            41                                                3.3512340924                     -55.2993688571        0.3409265870
           127                            13                                                0.9022945386                     -17.7325859527       -4.0943445622
           128                            14                                                1.1105817156                     -23.5540434367        2.3025850930
           129                             8                                                1.2216729194                     -10.1833894377       -0.1053605156
           130                            17                                                0.9747863702                     -20.3213471369        0.0000000000
           131                            11                                                0.5255366988                     -18.3456918069        0.8109302162
           132                            39                                                3.9191015777                     -54.5175829705        3.2958368660
           133                            20                                                2.0958390983                     -24.0814896110       -1.8325814637
